,epoch,low,high,open,close,volume,datetime
0,1609459200,599.0,606.03,603.49,599.83,508.78402913,2021-01-01 00:00:00+00:00
1,1609460100,598.4,600.78,599.92,599.73,260.75686841,2021-01-01 00:15:00+00:00
2,1609461000,600.0,602.59,600.54,601.58,102.57426466,2021-01-01 00:30:00+00:00
3,1609461900,601.08,603.63,601.18,602.19,57.80733811,2021-01-01 00:45:00+00:00
4,1609462800,601.61,608.9,602.38,608.55,768.65203565,2021-01-01 01:00:00+00:00
5,1609463700,605.27,608.91,608.69,607.47,753.82135938,2021-01-01 01:15:00+00:00
6,1609464600,606.52,612.48,607.47,611.93,1114.00774721,2021-01-01 01:30:00+00:00
7,1609465500,610.72,613.0,611.41,612.85,386.51773255,2021-01-01 01:45:00+00:00
8,1609466400,609.28,613.0,612.75,609.28,283.79517485,2021-01-01 02:00:00+00:00
9,1609467300,609.58,611.26,609.58,610.0,172.66114358,2021-01-01 02:15:00+00:00
10,1609468200,608.0,610.34,610.0,609.4,171.95060732,2021-01-01 02:30:00+00:00
11,1609469100,607.99,610.58,609.49,609.1,197.25980951,2021-01-01 02:45:00+00:00
12,1609470000,607.84,609.99,609.21,608.68,161.20963209,2021-01-01 03:00:00+00:00
13,1609470900,608.14,609.8,608.82,609.17,152.53691905,2021-01-01 03:15:00+00:00
14,1609471800,608.71,611.03,609.05,609.89,141.94001837,2021-01-01 03:30:00+00:00
15,1609472700,609.14,610.71,610.35,610.03,33.05250774,2021-01-01 03:45:00+00:00
16,1609473600,608.82,610.5,610.49,609.49,49.38296649,2021-01-01 04:00:00+00:00
17,1609474500,609.05,610.55,610.15,609.51,21.90964195,2021-01-01 04:15:00+00:00
18,1609475400,605.5,609.75,609.51,607.43,82.95377577,2021-01-01 04:30:00+00:00
19,1609476300,606.57,608.0,607.83,607.4,15.80489023,2021-01-01 04:45:00+00:00
20,1609477200,605.28,607.82,607.08,607.05,24.9181013,2021-01-01 05:00:00+00:00
21,1609478100,605.91,607.55,607.09,606.43,30.1996468,2021-01-01 05:15:00+00:00
22,1609479000,605.0,606.6,605.63,606.08,161.60392633,2021-01-01 05:30:00+00:00
23,1609479900,605.47,606.26,606.04,605.66,34.81222229,2021-01-01 05:45:00+00:00
24,1609480800,606.25,607.58,606.28,606.93,41.87837423,2021-01-01 06:00:00+00:00
25,1609481700,603.38,606.84,606.84,603.58,145.95742064,2021-01-01 06:15:00+00:00
26,1609482600,603.0,605.18,603.74,605.18,19.45058758,2021-01-01 06:30:00+00:00
27,1609483500,603.9,605.63,605.1,605.3,42.64061472,2021-01-01 06:45:00+00:00
28,1609484400,601.33,606.13,605.52,602.13,210.82780604,2021-01-01 07:00:00+00:00
29,1609485300,602.55,605.24,603.0,602.55,248.16019128,2021-01-01 07:15:00+00:00
30,1609486200,602.14,604.53,602.5,603.72,213.91131601,2021-01-01 07:30:00+00:00
31,1609487100,602.62,604.08,603.44,603.83,105.7972011,2021-01-01 07:45:00+00:00
32,1609488000,600.48,604.83,603.85,600.73,460.77678529,2021-01-01 08:00:00+00:00
33,1609488900,595.5,600.9,600.76,598.4,1014.39126434,2021-01-01 08:15:00+00:00
34,1609489800,595.51,601.09,598.27,595.51,646.99542953,2021-01-01 08:30:00+00:00
35,1609490700,595.34,599.55,595.68,598.49,366.99909506,2021-01-01 08:45:00+00:00
36,1609491600,597.33,601.04,598.44,600.43,412.85922226,2021-01-01 09:00:00+00:00
37,1609492500,599.29,601.63,600.41,601.26,224.57762177,2021-01-01 09:15:00+00:00
38,1609493400,600.55,602.31,601.26,601.19,347.2632293,2021-01-01 09:30:00+00:00
39,1609494300,601.24,602.22,601.36,601.63,166.68245224,2021-01-01 09:45:00+00:00
40,1609495200,601.32,604.61,601.51,604.15,243.31542165,2021-01-01 10:00:00+00:00
41,1609496100,602.51,604.11,603.76,603.44,145.4262777,2021-01-01 10:15:00+00:00
42,1609497000,603.01,605.3,603.12,605.24,101.66652313,2021-01-01 10:30:00+00:00
43,1609497900,604.01,605.99,604.92,604.44,78.02891536,2021-01-01 10:45:00+00:00
44,1609498800,604.06,606.01,604.27,605.76,94.74317578,2021-01-01 11:00:00+00:00
45,1609499700,605.17,607.44,605.56,607.08,268.30751626,2021-01-01 11:15:00+00:00
46,1609500600,605.63,607.99,607.32,606.53,248.43292307,2021-01-01 11:30:00+00:00
47,1609501500,605.05,607.35,607.34,606.29,153.63931904,2021-01-01 11:45:00+00:00
48,1609502400,602.99,607.03,606.3,603.83,447.81742711,2021-01-01 12:00:00+00:00
49,1609503300,603.1,607.4,603.72,607.31,175.56172712,2021-01-01 12:15:00+00:00
50,1609504200,605.71,609.0,607.3,606.91,566.66458893,2021-01-01 12:30:00+00:00
51,1609505100,600.8,607.19,606.7,601.59,632.6222167,2021-01-01 12:45:00+00:00
52,1609506000,601.58,604.65,601.92,604.58,300.32813739,2021-01-01 13:00:00+00:00
53,1609506900,604.18,605.91,604.45,605.84,322.27219469,2021-01-01 13:15:00+00:00
54,1609507800,604.95,607.16,605.9,606.03,99.45258154,2021-01-01 13:30:00+00:00
55,1609508700,606.03,609.0,606.03,607.88,271.5565722,2021-01-01 13:45:00+00:00
56,1609509600,605.69,609.49,607.89,607.54,341.85458136,2021-01-01 14:00:00+00:00
57,1609510500,606.99,608.3,607.2,607.51,87.68108659,2021-01-01 14:15:00+00:00
58,1609511400,605.17,607.71,607.35,606.85,128.77915468,2021-01-01 14:30:00+00:00
59,1609512300,605.13,606.78,606.77,606.01,239.15594857,2021-01-01 14:45:00+00:00
60,1609513200,604.6,606.59,606.15,605.42,267.80014322,2021-01-01 15:00:00+00:00
61,1609514100,605.24,607.68,605.38,607.18,129.34220059,2021-01-01 15:15:00+00:00
62,1609515000,602.72,607.44,607.43,603.38,196.26608283,2021-01-01 15:30:00+00:00
63,1609515900,603.17,605.66,603.27,604.4,108.78795088,2021-01-01 15:45:00+00:00
64,1609516800,602.66,605.98,605.09,604.6,339.63701313,2021-01-01 16:00:00+00:00
65,1609517700,603.28,605.29,603.95,604.53,194.38933816,2021-01-01 16:15:00+00:00
66,1609518600,603.72,605.71,604.52,605.01,251.90091969,2021-01-01 16:30:00+00:00
67,1609519500,604.43,606.09,605.04,604.58,113.72948408,2021-01-01 16:45:00+00:00
68,1609520400,603.22,604.98,604.33,604.01,197.70648477,2021-01-01 17:00:00+00:00
69,1609521300,602.5,604.49,604.01,602.79,221.88258798,2021-01-01 17:15:00+00:00
70,1609522200,599.05,602.94,602.58,600.54,646.38410939,2021-01-01 17:30:00+00:00
71,1609523100,598.21,600.53,600.53,599.56,519.15509774,2021-01-01 17:45:00+00:00
72,1609524000,597.5,601.99,599.4,600.57,253.50311199,2021-01-01 18:00:00+00:00
73,1609524900,597.0,600.97,600.88,597.75,308.35944157,2021-01-01 18:15:00+00:00
74,1609525800,592.48,599.3,597.59,592.85,818.77271173,2021-01-01 18:30:00+00:00
75,1609526700,588.79,596.5,592.8,595.93,1198.18015121,2021-01-01 18:45:00+00:00
76,1609527600,592.98,595.88,595.74,595.13,308.59986278,2021-01-01 19:00:00+00:00
77,1609528500,593.99,596.3,594.84,595.48,217.38674905,2021-01-01 19:15:00+00:00
78,1609529400,594.27,597.0,595.39,597.0,235.8927269,2021-01-01 19:30:00+00:00
79,1609530300,596.17,599.25,596.89,596.17,260.90591131,2021-01-01 19:45:00+00:00
80,1609531200,594.94,599.42,596.1,598.02,170.90113352,2021-01-01 20:00:00+00:00
81,1609532100,597.44,599.9,598.13,599.15,307.95589946,2021-01-01 20:15:00+00:00
82,1609533000,598.0,599.42,599.12,598.27,76.08651647,2021-01-01 20:30:00+00:00
83,1609533900,598.0,600.46,598.1,600.07,212.48580023,2021-01-01 20:45:00+00:00
84,1609534800,598.76,600.23,599.7,599.23,181.04914945,2021-01-01 21:00:00+00:00
85,1609535700,599.0,600.11,599.12,599.75,188.17371235,2021-01-01 21:15:00+00:00
86,1609536600,598.54,600.44,599.76,598.54,421.24878478,2021-01-01 21:30:00+00:00
87,1609537500,597.55,599.58,598.6,598.22,119.11125831,2021-01-01 21:45:00+00:00
88,1609538400,596.66,599.79,597.98,599.69,167.96314398,2021-01-01 22:00:00+00:00
89,1609539300,598.94,601.19,599.43,600.74,189.68726793,2021-01-01 22:15:00+00:00
90,1609540200,598.64,600.92,600.47,598.87,132.76306221,2021-01-01 22:30:00+00:00
91,1609541100,598.07,599.88,598.51,598.74,142.44823382,2021-01-01 22:45:00+00:00
92,1609542000,598.02,599.94,598.79,599.28,66.19850938,2021-01-01 23:00:00+00:00
93,1609542900,598.07,599.93,599.19,598.3,82.92933318,2021-01-01 23:15:00+00:00
94,1609543800,598.19,599.8,598.61,598.74,129.61464062,2021-01-01 23:30:00+00:00
95,1609544700,597.71,598.96,598.59,598.6,68.10052366,2021-01-01 23:45:00+00:00
96,1609545600,595.0,599.19,598.48,597.36,234.22872913,2021-01-02 00:00:00+00:00
97,1609546500,589.0,596.69,596.66,589.75,517.70230806,2021-01-02 00:15:00+00:00
98,1609547400,588.51,594.02,589.69,593.06,219.73498929,2021-01-02 00:30:00+00:00
